Date,Adjclose,Return
11/30/15,2091.689941,0.08%
12/7/15,2012.369995,-3.87%
12/14/15,2005.550049,-0.34%
12/21/15,2060.98999,2.73%
12/28/15,2043.939941,-0.83%
1/4/16,1922.030029,-6.15%
1/11/16,1880.329956,-2.19%
1/19/16,1906.900024,1.40%
1/25/16,1940.23999,1.73%
2/1/16,1880.050049,-3.15%
2/8/16,1864.780029,-0.82%
2/16/16,1917.780029,2.80%
2/22/16,1948.050049,1.57%
2/29/16,1999.98999,2.63%
3/7/16,2022.189941,1.10%
3/14/16,2049.580078,1.35%
3/21/16,2035.939941,-0.67%
3/28/16,2072.780029,1.79%
4/4/16,2047.599976,-1.22%
4/11/16,2080.72998,1.61%
4/18/16,2091.580078,0.52%
4/25/16,2065.300049,-1.26%
5/2/16,2057.139893,-0.40%
5/9/16,2046.609985,-0.51%
5/16/16,2052.320068,0.28%
5/23/16,2099.060059,2.25%
5/31/16,2099.129883,0.00%
6/6/16,2096.070068,-0.15%
6/13/16,2071.219971,-1.19%
6/20/16,2037.410034,-1.65%
6/27/16,2102.949951,3.17%
7/5/16,2129.899902,1.27%
7/11/16,2161.73999,1.48%
7/18/16,2175.030029,0.61%
7/25/16,2173.600098,-0.07%
8/1/16,2182.870117,0.43%
8/8/16,2184.050049,0.05%
8/15/16,2183.870117,-0.01%
8/22/16,2169.040039,-0.68%
8/29/16,2179.97998,0.50%
9/6/16,2127.810059,-2.42%
9/12/16,2139.159912,0.53%
9/19/16,2164.689941,1.19%
9/26/16,2168.27002,0.17%
10/3/16,2153.73999,-0.67%
10/10/16,2132.97998,-0.97%
10/17/16,2141.159912,0.38%
10/24/16,2126.409912,-0.69%
10/31/16,2085.179932,-1.96%
11/7/16,2164.449951,3.73%
11/14/16,2181.899902,0.80%
11/21/16,2213.350098,1.43%
11/28/16,2191.949951,-0.97%
12/5/16,2259.530029,3.04%
12/12/16,2258.070068,-0.06%
12/19/16,2263.790039,0.25%
12/27/16,2238.830078,-1.11%
1/3/17,2276.97998,1.69%
1/9/17,2274.639893,-0.10%
1/17/17,2271.310059,-0.15%
1/23/17,2294.689941,1.02%
1/30/17,2297.419922,0.12%
2/6/17,2316.100098,0.81%
2/13/17,2351.159912,1.50%
2/21/17,2367.340088,0.69%
2/27/17,2383.120117,0.66%
3/6/17,2372.600098,-0.44%
3/13/17,2378.25,0.24%
3/20/17,2343.97998,-1.45%
3/27/17,2362.719971,0.80%
4/3/17,2355.540039,-0.30%
4/10/17,2344.929932,-0.45%
